irricode	irritype	efficiency	irridose	dateirri
AYR-0	1	0.95	229	27-04-1992
AYR-0	1	0.95	229	03-07-1992
AYR-0	1	0.95	229	04-08-1992
AYR-0	1	0.95	229	09-09-1992
AYR-0	1	0.95	229	19-09-1992
AYR-0	1	0.95	229	30-09-1992
AYR-0	1	0.95	229	10-10-1992
AYR-0	1	0.95	229	12-10-1992
AYR-0	1	0.95	229	22-10-1992
AYR-0	1	0.95	229	29-10-1992
AYR-0	1	0.95	229	07-11-1992
AYR-0	1	0.95	229	13-11-1992
AYR-0	1	0.95	229	21-11-1992
AYR-0	1	0.95	229	25-12-1992
AYR-0	1	0.95	229	03-01-1993
AYR-0	1	0.95	229	23-01-1993
AYR-0	1	0.95	229	12-02-1993
AYR-0	1	0.95	229	02-03-1993
AYR-0	1	0.95	229	13-03-1993
AYR-0	1	0.95	229	27-03-1993
AYR-0	1	0.95	229	24-04-1993
AYR-0	1	0.95	229	08-05-1993
AYR-0	1	0.95	229	28-05-1993
AYR-0	1	0.95	229	05-06-1993
AYR-0	1	0.95	229	17-06-1993
AYR-1	1	0.95	228	23-08-1993
AYR-1	1	0.95	228	02-11-1993
AYR-1	1	0.95	228	20-11-1993
AYR-1	1	0.95	228	02-12-1993
AYR-1	1	0.95	228	13-12-1993
AYR-1	1	0.95	228	24-12-1993
AYR-1	1	0.95	229	25-12-1993
AYR-1	1	0.95	228	30-12-1993
AYR-1	1	0.95	228	08-01-1994
AYR-1	1	0.95	228	18-01-1994
AYR-1	1	0.95	228	17-02-1994
AYR-1	1	0.95	228	17-03-1994
AYR-1	1	0.95	228	28-03-1994
AYR-1	1	0.95	228	09-04-1994
AYR-1	1	0.95	228	27-04-1994
AYR-1	1	0.95	228	09-05-1994
AYR-1	1	0.95	228	25-05-1994
AYR-1	1	0.95	228	16-06-1994
AYR-1	1	0.95	228	14-07-1994
BVIT687	1	1	3.4	10-04-1986
BVIT687	1	1	2.1	11-04-1986
BVIT687	1	1	2.5	12-04-1986
BVIT687	1	1	2.5	13-04-1986
BVIT687	1	1	4.9	14-04-1986
BVIT687	1	1	4.9	15-04-1986
BVIT687	1	1	4.9	16-04-1986
BVIT687	1	1	4.9	17-04-1986
BVIT687	1	1	3.4	18-04-1986
BVIT687	1	1	0.4	19-04-1986
BVIT687	1	1	2.3	22-04-1986
BVIT687	1	1	1.6	26-04-1986
BVIT687	1	1	2.3	27-04-1986
BVIT687	1	1	0.7	28-04-1986
BVIT687	1	1	8.2	29-04-1986
BVIT687	1	1	8.2	02-05-1986
BVIT687	1	1	0.4	03-05-1986
BVIT687	1	1	0.6	05-05-1986
BVIT687	1	1	1.8	06-05-1986
BVIT687	1	1	0.8	07-05-1986
BVIT687	1	1	1.7	08-05-1986
BVIT687	1	1	1.8	09-05-1986
BVIT687	1	1	1.8	10-05-1986
BVIT687	1	1	1.8	11-05-1986
BVIT687	1	1	1.2	12-05-1986
BVIT687	1	1	1.5	13-05-1986
BVIT687	1	1	1.6	14-05-1986
BVIT687	1	1	1.5	16-05-1986
BVIT687	1	1	1.7	17-05-1986
BVIT687	1	1	1.6	18-05-1986
BVIT687	1	1	1.8	20-05-1986
BVIT687	1	1	1.8	21-05-1986
BVIT687	1	1	1.1	22-05-1986
BVIT687	1	1	4.1	24-05-1986
BVIT687	1	1	1.8	25-05-1986
BVIT687	1	1	1.9	26-05-1986
BVIT687	1	1	1.9	27-05-1986
BVIT687	1	1	1.9	31-05-1986
BVIT687	1	1	1.9	01-06-1986
BVIT687	1	1	1.9	02-06-1986
BVIT687	1	1	3.3	04-06-1986
BVIT687	1	1	1.9	05-06-1986
BVIT687	1	1	1.9	06-06-1986
BVIT687	1	1	1.9	07-06-1986
BVIT687	1	1	1.7	08-06-1986
BVIT687	1	1	1.7	09-06-1986
BVIT687	1	1	2.8	10-06-1986
BVIT687	1	1	0.9	13-06-1986
BVIT687	1	1	1.7	14-06-1986
BVIT687	1	1	1.7	15-06-1986
BVIT687	1	1	0.4	16-06-1986
BVIT687	1	1	1.6	17-06-1986
BVIT687	1	1	1.5	20-06-1986
BVIT687	1	1	0.9	21-06-1986
BVIT687	1	1	1.6	22-06-1986
BVIT687	1	1	1.6	23-06-1986
BVIT687	1	1	1.6	24-06-1986
BVIT687	1	1	1.6	25-06-1986
BVIT687	1	1	0.4	26-06-1986
BVIT687	1	1	0.4	28-06-1986
BVIT687	1	1	1.6	02-07-1986
BVIT687	1	1	1.6	03-07-1986
BVIT687	1	1	0.7	04-07-1986
BVIT687	1	1	2.6	05-07-1986
BVIT687	1	1	1.6	06-07-1986
BVIT687	1	1	1.1	13-07-1986
BVIT687	1	1	1.8	14-07-1986
BVIT687	1	1	1.8	15-07-1986
BVIT687	1	1	1.8	16-07-1986
BVIT687	1	1	1.8	17-07-1986
BVIT687	1	1	1.8	18-07-1986
BVIT687	1	1	1.8	19-07-1986
BVIT687	1	1	1.8	20-07-1986
BVIT687	1	1	1.7	21-07-1986
BVIT687	1	1	1.7	22-07-1986
BVIT687	1	1	1.7	23-07-1986
BVIT687	1	1	1.7	24-07-1986
BVIT687	1	1	3.4	25-07-1986
BVIT687	1	1	1.9	28-07-1986
BVIT687	1	1	1.6	29-07-1986
BVIT687	1	1	2.5	03-08-1986
BVIT687	1	1	1.9	11-08-1986
BVIT687	1	1	1	12-08-1986
BVIT687	1	1	1.9	15-08-1986
BVIT687	1	1	0.4	17-08-1986
BVIT687	1	1	1.8	22-08-1986
BVIT687	1	1	2.1	23-08-1986
BVIT687	1	1	1	28-08-1986
BVIT687	1	1	0.9	31-08-1986
BVIT687	1	1	2.9	01-09-1986
BVIT687	1	1	1.7	02-09-1986
BVIT687	1	1	1.7	03-09-1986
BVIT687	1	1	2.9	04-09-1986
BVIT687	1	1	5.7	05-09-1986
BVIT687	1	1	2.7	08-09-1986
BVIT687	1	1	3.4	09-09-1986
BVIT687	1	1	3.4	10-09-1986
BVIT687	1	1	3.4	11-09-1986
BVIT687	1	1	3.4	12-09-1986
BVIT687	1	1	3.4	13-09-1986
BVIT687	1	1	3.4	14-09-1986
BVIT687	1	1	3.5	18-09-1986
BVIT687	1	1	3.5	19-09-1986
BVIT687	1	1	1.1	20-09-1986
BVIT687	1	1	3.5	21-09-1986
BVIT687	1	1	2.6	22-09-1986
BVIT687	1	1	2.6	23-09-1986
BVIT687	1	1	2.6	24-09-1986
BVIT687	1	1	2.6	25-09-1986
BVIT687	1	1	2.6	26-09-1986
BVIT687	1	1	2.6	27-09-1986
BVIT687	1	1	2.6	28-09-1986
BVIT687	1	1	1.7	29-09-1986
BVIT687	1	1	1.7	30-09-1986
BVIT687	1	1	1.7	01-10-1986
BVIT687	1	1	1.7	02-10-1986
BVIT687	1	1	1.7	03-10-1986
BVIT687	1	1	0.4	05-10-1986
BVIT687	1	1	0.1	08-10-1986
BVIT687	1	1	0.1	09-10-1986
BVIT687	1	1	0.1	10-10-1986
BVIT687	1	1	0.1	11-10-1986
BVIT687	1	1	1.2	12-10-1986
BVIT687	1	1	0.8	13-10-1986
BVIT687	1	1	0.1	14-10-1986
BVIT687	1	1	2.2	15-10-1986
BVIT687	1	1	4.9	16-10-1986
BVIT687	1	1	4.9	17-10-1986
BVIT687	1	1	4.9	18-10-1986
BVIT687	1	1	0.4	19-10-1986
BVIT687	1	1	0.1	20-10-1986
BVIT687	1	1	3	21-10-1986
BVIT687	1	1	5.3	22-10-1986
BVIT687	1	1	5.3	23-10-1986
BVIT687	1	1	5.3	24-10-1986
BVIT687	1	1	5.3	25-10-1986
BVIT687	1	1	5.3	26-10-1986
BVIT687	1	1	5.7	27-10-1986
BVIT687	1	1	5.7	28-10-1986
BVIT687	1	1	5.7	29-10-1986
BVIT687	1	1	5.7	30-10-1986
BVIT687	1	1	5.7	31-10-1986
BVIT687	1	1	5.7	01-11-1986
BVIT687	1	1	5.7	02-11-1986
BVIT687	1	1	4.2	03-11-1986
BVIT687	1	1	5.8	04-11-1986
BVIT687	1	1	5.8	05-11-1986
BVIT687	1	1	5.8	06-11-1986
BVIT687	1	1	5.8	07-11-1986
BVIT687	1	1	5.8	08-11-1986
BVIT687	1	1	5.8	09-11-1986
BVIT687	1	1	6.3	10-11-1986
BVIT687	1	1	6.3	11-11-1986
BVIT687	1	1	6.3	12-11-1986
BVIT687	1	1	6.3	13-11-1986
BVIT687	1	1	6.3	14-11-1986
BVIT687	1	1	6.3	15-11-1986
BVIT687	1	1	6.3	16-11-1986
BVIT687	1	1	4.9	17-11-1986
BVIT687	1	1	6.4	18-11-1986
BVIT687	1	1	2.4	19-11-1986
BVIT687	1	1	6.4	20-11-1986
BVIT687	1	1	5.3	21-11-1986
BVIT687	1	1	6.4	22-11-1986
BVIT687	1	1	6.4	23-11-1986
BVIT687	1	1	6.1	24-11-1986
BVIT687	1	1	6.1	25-11-1986
BVIT687	1	1	3.1	26-11-1986
BVIT687	1	1	6.1	27-11-1986
BVIT687	1	1	6.1	28-11-1986
BVIT687	1	1	6.1	29-11-1986
BVIT687	1	1	6.1	30-11-1986
BVIT687	1	1	0.1	01-12-1986
BVIT687	1	1	0.1	02-12-1986
BVIT687	1	1	0.1	03-12-1986
BVIT687	1	1	0.1	04-12-1986
BVIT687	1	1	0.1	05-12-1986
BVIT687	1	1	2.5	07-12-1986
BVIT687	1	1	5.5	08-12-1986
BVIT687	1	1	2.6	09-12-1986
BVIT687	1	1	5.5	10-12-1986
BVIT687	1	1	5.5	11-12-1986
BVIT687	1	1	5.5	12-12-1986
BVIT687	1	1	5.5	13-12-1986
BVIT687	1	1	5.5	14-12-1986
BVIT687	1	1	5.1	15-12-1986
BVIT687	1	1	0.1	20-12-1986
BVIT687	1	1	5.2	21-12-1986
BVIT687	1	1	6.1	22-12-1986
BVIT687	1	1	0.1	23-12-1986
BVIT687	1	1	5.8	24-12-1986
BVIT687	1	1	6.1	25-12-1986
